run,L_m,CV,n,geometry,abs_error_pct,Q_hat_kg_s,inverse_crime_flag,posterior_sigma_kg_s,dfs,prior_influence,n_obs,dof,Q_hat_recomputed_kg_s,posterior_sigma_recomputed_kg_s,bias_total_pct,bias_aggregation_pct,bias_transport_pct,chi2,chi2_per_dof
source_heterogeneity_les_rice_paddy_l100_cv0p5_wind3_n1_op,100,0.5,1,Open path,0.4217544962227527,0.027895154963960753,False,0.010876612596965455,0.9998816992984155,0.00011830070158447281,1,0,0.02789515496396076,0.010876612596965722,0.4217544962227651,-0.44170706294945755,0.8634615591722227,0.0007782317358237277,
source_heterogeneity_les_rice_paddy_l100_cv0p5_wind3_n2_op,100,0.5,2,Open path,1.2246307561770144,0.028118177931450848,False,0.007707611625065145,0.9999405927230371,5.940727696285286e-05,2,1,0.028118177931450765,0.007707611625065332,1.224630756176702,0.5655450067354788,0.6590857494412231,0.9460244862885244,0.9460244862885244
source_heterogeneity_les_rice_paddy_l100_cv0p5_wind3_n3_op,100,0.5,3,Open path,2.187164980796023,0.028385550688365516,False,0.0065415347631559186,0.9999572083229424,4.279167705756315e-05,3,2,0.028385550688365412,0.006541534763156087,2.1871649807956355,-0.17838784864759963,2.365552829443235,1.3862427217168,0.6931213608584
source_heterogeneity_les_rice_paddy_l100_cv0p5_wind3_n4_op,100,0.5,4,Open path,3.778863511438534,0.028827692706207393,False,0.005758145032167979,0.9999668437657885,3.31562342115177e-05,4,3,0.028827692706207265,0.005758145032168126,3.7788635114380593,1.8483408946652478,1.9305226167728118,2.2529433114949344,0.7509811038316448
source_heterogeneity_les_rice_paddy_l250_cv0p5_wind3_n1_op,250,0.5,1,Open path,0.9262881960256036,0.028035304335091993,False,0.010876612596965455,0.9998816992984155,0.00011830070158447281,1,0,0.028035304335092003,0.010876612596965722,0.9262881960256412,0.7389000634796199,0.18738813254602138,0.0007860712819453778,
source_heterogeneity_les_rice_paddy_l250_cv0p5_wind3_n2_op,250,0.5,2,Open path,1.6062880514104383,0.028224194694920792,False,0.007707611625065145,0.9999405927230371,5.940727696285286e-05,2,1,0.028224194694920705,0.007707611625065332,1.6062880514101259,2.170696496861306,-0.5644084454511801,0.9659627918004202,0.9659627918004202
source_heterogeneity_les_rice_paddy_l250_cv0p5_wind3_n3_op,250,0.5,3,Open path,2.639265136524947,0.0285111350696239,False,0.0065415347631559186,0.9999572083229424,4.279167705756315e-05,3,2,0.028511135069623793,0.006541534763156087,2.6392651365245596,1.3879895336786952,1.2512756028458645,1.5259976312996428,0.7629988156498214
source_heterogeneity_les_rice_paddy_l250_cv0p5_wind3_n4_op,250,0.5,4,Open path,4.191373282904676,0.02894227967052526,False,0.005758145032167979,0.9999668437657885,3.31562342115177e-05,4,3,0.028942279670525126,0.005758145032168126,4.191373282904189,3.29289981208755,0.8984734708166393,2.4721069727505385,0.8240356575835128
source_heterogeneity_les_rice_paddy_l500_cv0p5_wind3_n1_op,500,0.5,1,Open path,2.7559807289663176,0.02701244367310774,False,0.010876612596965455,0.9998816992984155,0.00011830070158447281,1,0,0.027012443673107747,0.010876612596965722,-2.7559807289662803,-1.583103709683165,-1.1728770192831153,0.0007297584441287461,
source_heterogeneity_les_rice_paddy_l500_cv0p5_wind3_n2_op,500,0.5,2,Open path,1.3982800669801085,0.02738958576299427,False,0.007707611625065145,0.9999405927230371,5.940727696285286e-05,2,1,0.027389585762994165,0.007707611625065332,-1.398280066980471,-0.17790973488393932,-1.2203703320965316,1.3423206182210656,1.3423206182210656
