L_source_m,cv,mode,technology,N_min,success_probability_target
200,0.5,total_uniform,point,,0.9
200,0.5,total_uniform,op,,0.9
200,0.5,spatial_gp,point,,0.9
200,0.5,spatial_gp,op,,0.9
200,1.0,total_uniform,point,,0.9
200,1.0,total_uniform,op,,0.9
200,1.0,spatial_gp,point,,0.9
200,1.0,spatial_gp,op,,0.9
200,2.0,total_uniform,point,,0.9
200,2.0,total_uniform,op,,0.9
200,2.0,spatial_gp,point,,0.9
200,2.0,spatial_gp,op,,0.9
500,0.5,total_uniform,point,,0.9
500,0.5,total_uniform,op,,0.9
500,0.5,spatial_gp,point,,0.9
500,0.5,spatial_gp,op,,0.9
500,1.0,total_uniform,point,,0.9
500,1.0,total_uniform,op,,0.9
500,1.0,spatial_gp,point,,0.9
500,1.0,spatial_gp,op,,0.9
500,2.0,total_uniform,point,,0.9
500,2.0,total_uniform,op,,0.9
500,2.0,spatial_gp,point,,0.9
500,2.0,spatial_gp,op,,0.9
1000,0.5,total_uniform,point,,0.9
1000,0.5,total_uniform,op,,0.9
1000,0.5,spatial_gp,point,,0.9
1000,0.5,spatial_gp,op,,0.9
1000,1.0,total_uniform,point,,0.9
1000,1.0,total_uniform,op,,0.9
1000,1.0,spatial_gp,point,,0.9
1000,1.0,spatial_gp,op,,0.9
1000,2.0,total_uniform,point,,0.9
1000,2.0,total_uniform,op,,0.9
1000,2.0,spatial_gp,point,,0.9
1000,2.0,spatial_gp,op,,0.9
