L_source_m,cv,source_seed,layout_seed,n_instruments,technology,mode,Q_true_kg_s,Q_hat_kg_s,E_Q,posterior_sigma_total_kg_s,n_observations,operator_rank,zero_sensitivity_rows,physical_nonnegative,success
200,2.0,0,0,2,point,total_uniform,0.027777999999999997,0.0668702888489873,1.4073111400744223,2.413735148338656e-08,2,1,1,1,0
200,2.0,0,0,2,point,spatial_gp,0.027777999999999997,0.03057943173594642,0.1008507356881857,0.023726350902844598,2,1,1,1,1
200,2.0,0,0,2,op,total_uniform,0.027777999999999997,0.11605993000667673,3.178124055247921,4.5192423854781146e-08,2,1,0,1,0
200,2.0,0,0,2,op,spatial_gp,0.027777999999999997,0.0758903850206995,1.7320320044891464,0.02303688483005145,2,2,0,1,0
200,2.0,0,1,2,point,total_uniform,0.027777999999999997,0.0,1.0,0.01,2,0,2,1,0
200,2.0,0,1,2,point,spatial_gp,0.027777999999999997,0.02,0.2800057599539203,0.02659886700826022,2,0,2,1,0
200,2.0,0,1,2,op,total_uniform,0.027777999999999997,0.17596217620013832,5.334587666503648,6.592622990973945e-08,2,1,0,1,0
200,2.0,0,1,2,op,spatial_gp,0.027777999999999997,0.05180912188263912,0.8651134668672736,0.023017287353893308,2,2,0,1,0
200,2.0,0,2,2,point,total_uniform,0.027777999999999997,0.02650571624573741,0.04580184873866317,2.493641541726284e-08,2,1,1,1,1
200,2.0,0,2,2,point,spatial_gp,0.027777999999999997,0.02146810466809227,0.22715441471336045,0.02372708057313531,2,1,1,1,0
200,2.0,0,2,2,op,total_uniform,0.027777999999999997,0.13916247298358492,4.009808948937466,7.717327063167616e-08,2,1,0,1,0
200,2.0,0,2,2,op,spatial_gp,0.027777999999999997,-27.539223408121195,992.4041114594716,0.02125030322699271,2,2,0,0,0
200,2.0,0,3,2,point,total_uniform,0.027777999999999997,0.0,1.0,0.01,2,0,2,1,0
200,2.0,0,3,2,point,spatial_gp,0.027777999999999997,0.02,0.2800057599539203,0.02659886700826022,2,0,2,1,0
200,2.0,0,3,2,op,total_uniform,0.027777999999999997,0.08872277965696578,2.1939945156946425,4.9515036221035645e-08,2,1,0,1,0
200,2.0,0,3,2,op,spatial_gp,0.027777999999999997,0.007534604247776017,0.7287564170287272,0.023016486801843056,2,2,0,0,0
200,2.0,0,4,2,point,total_uniform,0.027777999999999997,0.0,1.0,0.01,2,0,2,1,0
200,2.0,0,4,2,point,spatial_gp,0.027777999999999997,0.02,0.2800057599539203,0.02659886700826022,2,0,2,1,0
200,2.0,0,4,2,op,total_uniform,0.027777999999999997,0.06713487188503453,1.416836053172818,3.151428258232184e-08,2,1,0,1,0
200,2.0,0,4,2,op,spatial_gp,0.027777999999999997,0.025602595692085794,0.07831392857348274,0.022864893880774857,2,2,0,0,1
