Six line panels, point sensors on the top row and open paths on the bottom, comparing pooled total-flux error statistics (percent, 96 inversions per point, 8 seeds) with quadratic-form predictions pooled the same way. Columns show sample SD by CV, sample SD by correlation length L, and mean absolute error by L (the statistic behind the published 10.4, 11.8 and 19.0 percent). A grey band shows where the perfect-transport statistic falls in 95 percent of 200 replays of the study's shared 8-seed design under the generator. Predicted SD exceeds empirical total-error SD in 36 of 36 predictor-by-point comparisons. The empirical perfect-transport SD sits between percentiles 3 and 30 of the band, except at L = 500 m (percentiles 55 to 64).

geometry,pooled_by,statistic,value,series,percent
point,CV,sd,0.5,null q025,9.901
point,CV,sd,1,null q025,17.14
point,CV,sd,2,null q025,25.42
point,CV,sd,0.5,null median,13.63
point,CV,sd,1,null median,24.19
point,CV,sd,2,null median,37.71
point,CV,sd,0.5,null q975,17.91
point,CV,sd,1,null q975,37.29
point,CV,sd,2,null q975,69.22
point,CV,sd,0.5,"Empirical, total error",9.934
point,CV,sd,1,"Empirical, total error",16.81
point,CV,sd,2,"Empirical, total error",26.41
point,CV,sd,0.5,"Empirical, perfect transport",11.44
point,CV,sd,1,"Empirical, perfect transport",20.56
point,CV,sd,2,"Empirical, perfect transport",32.8
point,CV,sd,0.5,"Predicted, log-linear (as specified)",13.74
point,CV,sd,1,"Predicted, log-linear (as specified)",24.22
point,CV,sd,2,"Predicted, log-linear (as specified)",36.9
point,CV,sd,0.5,"Predicted, exact lognormal",14.4
point,CV,sd,1,"Predicted, exact lognormal",28.16
point,CV,sd,2,"Predicted, exact lognormal",53.44
point,CV,sd,0.5,"Predicted, generator Monte Carlo",14.12
point,CV,sd,1,"Predicted, generator Monte Carlo",25.73
point,CV,sd,2,"Predicted, generator Monte Carlo",41.54
point,L_m,sd,100,null q025,15.26
point,L_m,sd,250,null q025,16.44
point,L_m,sd,500,null q025,16.07
point,L_m,sd,100,null median,24.24
point,L_m,sd,250,null median,28.14
point,L_m,sd,500,null median,24.96
point,L_m,sd,100,null q975,47.06
point,L_m,sd,250,null q975,53.59
point,L_m,sd,500,null q975,49.1
point,L_m,sd,100,"Empirical, total error",13.56
point,L_m,sd,250,"Empirical, total error",15.15
point,L_m,sd,500,"Empirical, total error",23.93
point,L_m,sd,100,"Empirical, perfect transport",20.17
point,L_m,sd,250,"Empirical, perfect transport",20.21
point,L_m,sd,500,"Empirical, perfect transport",25.53
point,L_m,sd,100,"Predicted, log-linear (as specified)",23.78
point,L_m,sd,250,"Predicted, log-linear (as specified)",28.36
point,L_m,sd,500,"Predicted, log-linear (as specified)",27.71
point,L_m,sd,100,"Predicted, exact lognormal",29.41
point,L_m,sd,250,"Predicted, exact lognormal",37.56
point,L_m,sd,500,"Predicted, exact lognormal",39.75
point,L_m,sd,100,"Predicted, generator Monte Carlo",27.21
point,L_m,sd,250,"Predicted, generator Monte Carlo",31.18
point,L_m,sd,500,"Predicted, generator Monte Carlo",29.58
point,L_m,mae,100,null q025,11.78
point,L_m,mae,250,null q025,13.34
point,L_m,mae,500,null q025,12.48
point,L_m,mae,100,null median,17.16
point,L_m,mae,250,null median,19.5
point,L_m,mae,500,null median,18.38
point,L_m,mae,100,null q975,26.4
point,L_m,mae,250,null q975,29.77
point,L_m,mae,500,null q975,29.12
point,L_m,mae,100,"Empirical, total error",10.38
point,L_m,mae,250,"Empirical, total error",11.82
point,L_m,mae,500,"Empirical, total error",19.04
