Six line panels, point sensors on the top row and open paths on the bottom, comparing pooled total-flux error statistics (percent, 240 inversions per point, 20 seeds) with quadratic-form predictions pooled the same way. Columns show sample SD by CV, sample SD by correlation length L, and mean absolute error by L (the statistic behind the published 10.4, 11.8 and 19.0 percent). A grey band shows where the perfect-transport statistic falls in 95 percent of 200 replays of the study's shared 20-seed design under the generator. Predicted SD exceeds empirical total-error SD in 36 of 36 predictor-by-point comparisons. The empirical perfect-transport SD sits between percentiles 16 and 60 of the band, except at L = 500 m (percentiles 26 to 42).

geometry,pooled_by,statistic,value,series,percent
point,CV,sd,0.5,null q025,11.37
point,CV,sd,1,null q025,19.48
point,CV,sd,2,null q025,29.4
point,CV,sd,0.5,null median,13.82
point,CV,sd,1,null median,25.04
point,CV,sd,2,null median,39.7
point,CV,sd,0.5,null q975,16.8
point,CV,sd,1,null q975,32.91
point,CV,sd,2,null q975,61.78
point,CV,sd,0.5,"Empirical, total error",10.9
point,CV,sd,1,"Empirical, total error",17.85
point,CV,sd,2,"Empirical, total error",26.62
point,CV,sd,0.5,"Empirical, perfect transport",13.34
point,CV,sd,1,"Empirical, perfect transport",23.74
point,CV,sd,2,"Empirical, perfect transport",38.38
point,CV,sd,0.5,"Predicted, log-linear (as specified)",13.74
point,CV,sd,1,"Predicted, log-linear (as specified)",24.22
point,CV,sd,2,"Predicted, log-linear (as specified)",36.9
point,CV,sd,0.5,"Predicted, exact lognormal",14.4
point,CV,sd,1,"Predicted, exact lognormal",28.16
point,CV,sd,2,"Predicted, exact lognormal",53.44
point,CV,sd,0.5,"Predicted, generator Monte Carlo",14.12
point,CV,sd,1,"Predicted, generator Monte Carlo",25.73
point,CV,sd,2,"Predicted, generator Monte Carlo",41.54
point,L_m,sd,100,null q025,18.16
point,L_m,sd,250,null q025,20.17
point,L_m,sd,500,null q025,19.27
point,L_m,sd,100,null median,25.19
point,L_m,sd,250,null median,29.6
point,L_m,sd,500,null median,27.11
point,L_m,sd,100,null q975,42.52
point,L_m,sd,250,null q975,48.48
point,L_m,sd,500,null q975,43.31
point,L_m,sd,100,"Empirical, total error",15.17
point,L_m,sd,250,"Empirical, total error",20.45
point,L_m,sd,500,"Empirical, total error",22.3
point,L_m,sd,100,"Empirical, perfect transport",27.06
point,L_m,sd,250,"Empirical, perfect transport",29.89
point,L_m,sd,500,"Empirical, perfect transport",24.27
point,L_m,sd,100,"Predicted, log-linear (as specified)",23.78
point,L_m,sd,250,"Predicted, log-linear (as specified)",28.36
point,L_m,sd,500,"Predicted, log-linear (as specified)",27.71
point,L_m,sd,100,"Predicted, exact lognormal",29.41
point,L_m,sd,250,"Predicted, exact lognormal",37.56
point,L_m,sd,500,"Predicted, exact lognormal",39.75
point,L_m,sd,100,"Predicted, generator Monte Carlo",27.21
point,L_m,sd,250,"Predicted, generator Monte Carlo",31.18
point,L_m,sd,500,"Predicted, generator Monte Carlo",29.58
point,L_m,mae,100,null q025,13.55
point,L_m,mae,250,null q025,15.73
point,L_m,mae,500,null q025,14.86
point,L_m,mae,100,null median,17.21
point,L_m,mae,250,null median,19.69
point,L_m,mae,500,null median,18.91
point,L_m,mae,100,null q975,22.25
