Four log-log scatter panels of predicted (loglinear covariance) versus empirical 8-seed error variance for all 72 conditions (geometry, n, CV, L), with chi-square 95 percent intervals on the empirical values and a dashed 1:1 line. Top row uses the total retrieval error (r = 0.77, Spearman 0.85, median predicted/empirical SD 1.71), bottom row the perfect-transport error (r = 0.63, Spearman 0.79, median ratio 1.47); left panels colour by CV, right by L, filled markers for point sensors and open markers for open paths.

geometry,n,CV,L_m,var_pred,var_emp_total,var_emp_pure
open_path,1,0.5,100,0.006807,0.00171,0.001915
open_path,1,0.5,250,0.01423,0.003039,0.002977
open_path,1,0.5,500,0.01589,0.01235,0.01475
open_path,1,1,100,0.02114,0.006236,0.006306
open_path,1,1,250,0.04421,0.009744,0.008472
open_path,1,1,500,0.04936,0.04194,0.04936
open_path,1,2,100,0.04909,0.02248,0.02274
open_path,1,2,250,0.1026,0.02678,0.02251
open_path,1,2,500,0.1146,0.1038,0.1217
open_path,2,0.5,100,0.006907,0.001701,0.001837
open_path,2,0.5,250,0.01449,0.002941,0.003036
open_path,2,0.5,500,0.01624,0.01186,0.01484
open_path,2,1,100,0.02145,0.006127,0.005826
open_path,2,1,250,0.04502,0.009326,0.008007
open_path,2,1,500,0.05046,0.04046,0.04973
open_path,2,2,100,0.04982,0.02268,0.01988
open_path,2,2,250,0.1045,0.0262,0.01973
open_path,2,2,500,0.1172,0.1005,0.1232
open_path,3,0.5,100,0.005859,0.001551,0.001316
open_path,3,0.5,250,0.01251,0.002819,0.002486
open_path,3,0.5,500,0.01422,0.011,0.01326
open_path,3,1,100,0.0182,0.005708,0.00458
open_path,3,1,250,0.03885,0.008992,0.006865
open_path,3,1,500,0.04416,0.03722,0.04375
open_path,3,2,100,0.04226,0.02129,0.01826
open_path,3,2,250,0.0902,0.02515,0.01867
open_path,3,2,500,0.1025,0.09159,0.1065
open_path,4,0.5,100,0.005534,0.001595,0.001832
open_path,4,0.5,250,0.01195,0.002808,0.003132
open_path,4,0.5,500,0.01361,0.01119,0.01285
open_path,4,1,100,0.01719,0.005632,0.005608
open_path,4,1,250,0.03712,0.008642,0.008088
open_path,4,1,500,0.04226,0.03791,0.04241
open_path,4,2,100,0.03991,0.02084,0.01876
open_path,4,2,250,0.08618,0.02391,0.01917
open_path,4,2,500,0.09813,0.09345,0.1031
point,1,0.5,100,0.03429,0.007406,0.009311
point,1,0.5,250,0.04784,0.009417,0.01219
point,1,0.5,500,0.04348,0.02697,0.03043
point,1,1,100,0.1065,0.02475,0.02017
point,1,1,250,0.1486,0.03068,0.02742
point,1,1,500,0.1351,0.09271,0.1118
point,1,2,100,0.2473,0.07155,0.03478
point,1,2,250,0.3451,0.0766,0.04625
point,1,2,500,0.3136,0.2323,0.3012
point,2,0.5,100,0.01013,0.003624,0.01314
point,2,0.5,250,0.01237,0.005759,0.01425
point,2,0.5,500,0.01114,0.01045,0.01011
point,2,1,100,0.03148,0.01177,0.04921
point,2,1,250,0.03842,0.01785,0.05168
point,2,1,500,0.0346,0.03512,0.02859
point,2,2,100,0.07309,0.03591,0.1544
point,2,2,250,0.08921,0.04579,0.1531
point,2,2,500,0.08034,0.085,0.06064
point,3,0.5,100,0.007209,0.001888,0.003211
point,3,0.5,250,0.01073,0.003418,0.003786
point,3,0.5,500,0.01106,0.01206,0.009811
point,3,1,100,0.02239,0.006562,0.01039
point,3,1,250,0.03334,0.01088,0.01094
point,3,1,500,0.03436,0.04083,0.03119
point,3,2,100,0.05199,0.02389,0.0291
point,3,2,250,0.0774,0.03002,0.02765
point,3,2,500,0.07979,0.1002,0.07236
point,4,0.5,100,0.0083,0.001313,0.0049
point,4,0.5,250,0.0143,0.002332,0.005369
point,4,0.5,500,0.01571,0.009192,0.01448
point,4,1,100,0.02578,0.004459,0.01445
point,4,1,250,0.04442,0.006778,0.01277
point,4,1,500,0.04879,0.03105,0.04865
point,4,2,100,0.05986,0.01676,0.0376
point,4,2,250,0.1031,0.01866,0.02538
point,4,2,500,0.1133,0.07634,0.1229
