Four log-log scatter panels of predicted (loglinear covariance) versus empirical 20-seed error variance for all 72 conditions (geometry, n, CV, L), with chi-square 95 percent intervals on the empirical values and a dashed 1:1 line. Top row uses the total retrieval error (r = 0.95, Spearman 0.96, median predicted/empirical SD 1.30), bottom row the perfect-transport error (r = 0.93, Spearman 0.97, median ratio 1.08); left panels colour by CV, right by L, filled markers for point sensors and open markers for open paths.

geometry,n,CV,L_m,var_pred,var_emp_total,var_emp_pure
open_path,1,0.5,100,0.006807,0.003883,0.004606
open_path,1,0.5,250,0.01423,0.008379,0.0106
open_path,1,0.5,500,0.01589,0.01142,0.01474
open_path,1,1,100,0.02114,0.0119,0.01306
open_path,1,1,250,0.04421,0.02527,0.03036
open_path,1,1,500,0.04936,0.03415,0.0427
open_path,1,2,100,0.04909,0.02988,0.03062
open_path,1,2,250,0.1026,0.05762,0.06577
open_path,1,2,500,0.1146,0.07662,0.09399
open_path,2,0.5,100,0.006907,0.003942,0.005385
open_path,2,0.5,250,0.01449,0.008429,0.0119
open_path,2,0.5,500,0.01624,0.01081,0.015
open_path,2,1,100,0.02145,0.01218,0.01548
open_path,2,1,250,0.04502,0.02561,0.03415
open_path,2,1,500,0.05046,0.03233,0.04394
open_path,2,2,100,0.04982,0.03108,0.03617
open_path,2,2,250,0.1045,0.05913,0.07393
open_path,2,2,500,0.1172,0.07269,0.09815
open_path,3,0.5,100,0.005859,0.003442,0.004157
open_path,3,0.5,250,0.01251,0.00732,0.00926
open_path,3,0.5,500,0.01422,0.009803,0.01303
open_path,3,1,100,0.0182,0.01063,0.01181
open_path,3,1,250,0.03885,0.02208,0.02616
open_path,3,1,500,0.04416,0.0295,0.03835
open_path,3,2,100,0.04226,0.02722,0.02818
open_path,3,2,250,0.0902,0.05078,0.05646
open_path,3,2,500,0.1025,0.06648,0.08556
open_path,4,0.5,100,0.005534,0.003669,0.004694
open_path,4,0.5,250,0.01195,0.007842,0.01025
open_path,4,0.5,500,0.01361,0.009944,0.01257
open_path,4,1,100,0.01719,0.01136,0.01366
open_path,4,1,250,0.03712,0.02379,0.02968
open_path,4,1,500,0.04226,0.02978,0.03669
open_path,4,2,100,0.03991,0.02909,0.03277
open_path,4,2,250,0.08618,0.05495,0.06512
open_path,4,2,500,0.09813,0.06686,0.08105
point,1,0.5,100,0.03429,0.01098,0.03424
point,1,0.5,250,0.04784,0.02292,0.05209
point,1,0.5,500,0.04348,0.03096,0.03886
point,1,1,100,0.1065,0.03325,0.1206
point,1,1,250,0.1486,0.06965,0.1759
point,1,1,500,0.1351,0.08795,0.1077
point,1,2,100,0.2473,0.07915,0.3836
point,1,2,250,0.3451,0.1568,0.4672
point,1,2,500,0.3136,0.19,0.2308
point,2,0.5,100,0.01013,0.004259,0.0112
point,2,0.5,250,0.01237,0.00718,0.01129
point,2,0.5,500,0.01114,0.008528,0.007374
point,2,1,100,0.03148,0.01381,0.03526
point,2,1,250,0.03842,0.02262,0.03433
point,2,1,500,0.0346,0.0266,0.02206
point,2,2,100,0.07309,0.03735,0.0929
point,2,2,250,0.08921,0.05545,0.08526
point,2,2,500,0.08034,0.06105,0.05131
point,3,0.5,100,0.007209,0.003939,0.008036
point,3,0.5,250,0.01073,0.008367,0.01086
point,3,0.5,500,0.01106,0.0107,0.009876
point,3,1,100,0.02239,0.01225,0.03196
point,3,1,250,0.03334,0.02562,0.03902
point,3,1,500,0.03436,0.03177,0.02681
point,3,2,100,0.05199,0.03149,0.1127
point,3,2,250,0.0774,0.05962,0.1142
point,3,2,500,0.07979,0.07059,0.05394
point,4,0.5,100,0.0083,0.00322,0.008921
point,4,0.5,250,0.0143,0.006683,0.0142
point,4,0.5,500,0.01571,0.007863,0.01567
point,4,1,100,0.02578,0.01009,0.02486
point,4,1,250,0.04442,0.02045,0.03847
point,4,1,500,0.04879,0.02383,0.04799
point,4,2,100,0.05986,0.02629,0.05506
point,4,2,250,0.1031,0.04793,0.07781
point,4,2,500,0.1133,0.05407,0.1148
