Four log-log scatter panels of predicted (mc covariance) versus empirical 20-seed error variance for all 72 conditions (geometry, n, CV, L), with chi-square 95 percent intervals on the empirical values and a dashed 1:1 line. Top row uses the total retrieval error (r = 0.92, Spearman 0.94, median predicted/empirical SD 1.35), bottom row the perfect-transport error (r = 0.95, Spearman 0.96, median ratio 1.13); left panels colour by CV, right by L, filled markers for point sensors and open markers for open paths.

geometry,n,CV,L_m,var_pred,var_emp_total,var_emp_pure
open_path,1,0.5,100,0.006922,0.003883,0.004606
open_path,1,0.5,250,0.01495,0.008379,0.0106
open_path,1,0.5,500,0.01646,0.01142,0.01474
open_path,1,1,100,0.02434,0.0119,0.01306
open_path,1,1,250,0.0491,0.02527,0.03036
open_path,1,1,500,0.04904,0.03415,0.0427
open_path,1,2,100,0.06525,0.02988,0.03062
open_path,1,2,250,0.1073,0.05762,0.06577
open_path,1,2,500,0.125,0.07662,0.09399
open_path,2,0.5,100,0.007001,0.003942,0.005385
open_path,2,0.5,250,0.01523,0.008429,0.0119
open_path,2,0.5,500,0.01682,0.01081,0.015
open_path,2,1,100,0.02427,0.01218,0.01548
open_path,2,1,250,0.05058,0.02561,0.03415
open_path,2,1,500,0.05072,0.03233,0.04394
open_path,2,2,100,0.06579,0.03108,0.03617
open_path,2,2,250,0.1143,0.05913,0.07393
open_path,2,2,500,0.1315,0.07269,0.09815
open_path,3,0.5,100,0.005904,0.003442,0.004157
open_path,3,0.5,250,0.01312,0.00732,0.00926
open_path,3,0.5,500,0.01465,0.009803,0.01303
open_path,3,1,100,0.02071,0.01063,0.01181
open_path,3,1,250,0.04345,0.02208,0.02616
open_path,3,1,500,0.04401,0.0295,0.03835
open_path,3,2,100,0.0553,0.02722,0.02818
open_path,3,2,250,0.09805,0.05078,0.05646
open_path,3,2,500,0.1129,0.06648,0.08556
open_path,4,0.5,100,0.005566,0.003669,0.004694
open_path,4,0.5,250,0.01251,0.007842,0.01025
open_path,4,0.5,500,0.01404,0.009944,0.01257
open_path,4,1,100,0.01927,0.01136,0.01366
open_path,4,1,250,0.04097,0.02379,0.02968
open_path,4,1,500,0.04172,0.02978,0.03669
open_path,4,2,100,0.05187,0.02909,0.03277
open_path,4,2,250,0.09174,0.05495,0.06512
open_path,4,2,500,0.1064,0.06686,0.08105
point,1,0.5,100,0.03631,0.01098,0.03424
point,1,0.5,250,0.05122,0.02292,0.05209
point,1,0.5,500,0.04595,0.03096,0.03886
point,1,1,100,0.1219,0.03325,0.1206
point,1,1,250,0.177,0.06965,0.1759
point,1,1,500,0.1396,0.08795,0.1077
point,1,2,100,0.3385,0.07915,0.3836
point,1,2,250,0.4147,0.1568,0.4672
point,1,2,500,0.3781,0.19,0.2308
point,2,0.5,100,0.01042,0.004259,0.0112
point,2,0.5,250,0.01299,0.00718,0.01129
point,2,0.5,500,0.01171,0.008528,0.007374
point,2,1,100,0.04013,0.01381,0.03526
point,2,1,250,0.04534,0.02262,0.03433
point,2,1,500,0.03648,0.0266,0.02206
point,2,2,100,0.0945,0.03735,0.0929
point,2,2,250,0.1111,0.05545,0.08526
point,2,2,500,0.09105,0.06105,0.05131
point,3,0.5,100,0.007521,0.003939,0.008036
point,3,0.5,250,0.01145,0.008367,0.01086
point,3,0.5,500,0.01139,0.0107,0.009876
point,3,1,100,0.02637,0.01225,0.03196
point,3,1,250,0.03834,0.02562,0.03902
point,3,1,500,0.03279,0.03177,0.02681
point,3,2,100,0.07532,0.03149,0.1127
point,3,2,250,0.09533,0.05962,0.1142
point,3,2,500,0.08779,0.07059,0.05394
point,4,0.5,100,0.008625,0.00322,0.008921
point,4,0.5,250,0.0154,0.006683,0.0142
point,4,0.5,500,0.01637,0.007863,0.01567
point,4,1,100,0.03112,0.01009,0.02486
point,4,1,250,0.05307,0.02045,0.03847
point,4,1,500,0.0523,0.02383,0.04799
point,4,2,100,0.09745,0.02629,0.05506
point,4,2,250,0.1402,0.04793,0.07781
point,4,2,500,0.1458,0.05407,0.1148
