run,geometry,n,CV,L_m,seed,e_signed,e_pure_representativeness,e_transport,sd_pred_loglinear,sd_pred_lognormal,sd_pred_mc,z_total_loglinear,z_pure_loglinear,z_total_lognormal,z_pure_lognormal,z_total_mc,z_pure_mc,pit_pure_mc
source_heterogeneity_les_rice_paddy_l100_cv0p5_s0_wind3_n1_op,open_path,1,0.5,100.0,0,0.0041031019231735,-0.0044170706294948,0.0085201725526683,0.08250242573892148,0.0845176434927939,0.08319806003281814,0.04973310646838125,-0.053538675862363105,0.04854728259813983,-0.05226211293824592,0.049317278811008315,-0.053091029138809864,0.515
source_heterogeneity_les_rice_paddy_l100_cv0p5_s1_wind3_n1_op,open_path,1,0.5,100.0,1,0.0530572256444229,0.0401730612054224,0.0128841644390005,0.08250242573892148,0.0845176434927939,0.08319806003281814,0.6430989776266971,0.4869318792219498,0.6277650849191818,0.4753215961214963,0.6377219087018863,0.48286055215200707,0.715
source_heterogeneity_les_rice_paddy_l100_cv0p5_s2_wind3_n1_op,open_path,1,0.5,100.0,2,-0.0445457463264106,-0.0612663759604823,0.0167206296340717,0.08250242573892148,0.0845176434927939,0.08319806003281814,-0.5399325647390707,-0.742600904297765,-0.5270585464230155,-0.7248945123003336,-0.5354180891818772,-0.7363918814491022,0.23775
source_heterogeneity_les_rice_paddy_l100_cv0p5_s3_wind3_n1_op,open_path,1,0.5,100.0,3,-0.0517827289102946,-0.0573534388724482,0.0055707099621536,0.08250242573892148,0.0845176434927939,0.08319806003281814,-0.6276509865802102,-0.6951727583615889,-0.612685431944274,-0.6785972313264772,-0.6224030811519943,-0.6893602909710235,0.26025
source_heterogeneity_les_rice_paddy_l100_cv0p5_s4_wind3_n1_op,open_path,1,0.5,100.0,4,0.0279841818406531,0.0035959893006432,0.0243881925400098,0.08250242573892148,0.0845176434927939,0.08319806003281814,0.33919223089523337,0.04358646753033287,0.3311046153699147,0.0425472025962224,0.3363561822188464,0.043222033052510274,0.548
source_heterogeneity_les_rice_paddy_l100_cv0p5_s5_wind3_n1_op,open_path,1,0.5,100.0,5,-0.0540584937991532,-0.0681925194485428,0.0141340256493896,0.08250242573892148,0.0845176434927939,0.08319806003281814,-0.6552352044801815,-0.8265516903022668,-0.6396119385860812,-0.806843596560486,-0.6497566623287778,-0.8196407394793065,0.2065
source_heterogeneity_les_rice_paddy_l100_cv0p5_s6_wind3_n1_op,open_path,1,0.5,100.0,6,-0.0440887615899508,-0.08980708905393,0.0457183274639792,0.08250242573892148,0.0845176434927939,0.08319806003281814,-0.5343935186762807,-1.0885387702190006,-0.5216515720023579,-1.0625839214457877,-0.5299253561027701,-1.0794372971978539,0.12925
source_heterogeneity_les_rice_paddy_l100_cv0p5_s7_wind3_n1_op,open_path,1,0.5,100.0,7,0.0090886870427648,-0.0266629524076203,0.0357516394503851,0.08250242573892148,0.0845176434927939,0.08319806003281814,0.11016266444729644,-0.3231777995473137,0.10753597316683013,-0.31547202815579706,0.10924157413261433,-0.3204756504791444,0.40675
source_heterogeneity_les_rice_paddy_l250_cv0p5_s0_wind3_n1_op,open_path,1,0.5,250.0,0,0.0079628409394256,0.0073890006347959,0.0005738403046296,0.11929653220825472,0.12344527777557376,0.1222601063509092,0.06674830183265472,0.06193810078147953,0.0645050267042391,0.05985648676030578,0.06513032891179375,0.060436726707795395,0.554
source_heterogeneity_les_rice_paddy_l250_cv0p5_s1_wind3_n1_op,open_path,1,0.5,250.0,1,0.0662472668419611,0.0511260052490051,0.0151212615929559,0.11929653220825472,0.12344527777557376,0.1222601063509092,0.5553159477118239,0.4285623756418583,0.5366529043127927,0.4141592628755983,0.5418551383541181,0.41817406163760384,0.684
