geometry,pooled_by,value,statistic,null_q025,null_median,null_q975,null_mean,study_seeds0_7,study_percentile_in_null
point,CV,0.5,sd,0.09900826198647927,0.13633514280305015,0.1791324652501879,0.13705308074731024,0.11442077684270129,15.0
point,CV,0.5,mae,0.07531172577154967,0.10345100461160175,0.1306133871790744,0.10379233260354596,0.09205160329089519,20.0
point,CV,1.0,sd,0.17142902745685495,0.24186674902584293,0.37293661414818813,0.2505972866305156,0.20556095404830724,19.0
point,CV,1.0,mae,0.1369235765940727,0.1840253237664714,0.24435817147113228,0.1839977768446321,0.17064551339379216,35.5
point,CV,2.0,sd,0.2542416713579362,0.37710300716285505,0.6922314388253579,0.404949210383662,0.3279722035573302,25.0
point,CV,2.0,mae,0.20633519584693424,0.2770054926929757,0.4029057121640255,0.28247264306105135,0.2789730747635292,52.5
point,L_m,100.0,sd,0.15261588727975023,0.24238176358706512,0.4706110175188385,0.2622336340782201,0.20165252193810387,25.5
point,L_m,100.0,mae,0.1178019651319624,0.1716357929911615,0.2639727893124064,0.17543739689266366,0.17393984076379213,51.0
point,L_m,250.0,sd,0.16438665783147274,0.2814159541291975,0.5359105041354207,0.2973171265990201,0.20211965961725933,12.0
point,L_m,250.0,mae,0.13340220057172927,0.1949828473103286,0.2977131149414814,0.20386363942474703,0.17743052332978082,30.5
point,L_m,500.0,sd,0.1606933689171068,0.2496337574551753,0.49100742096848693,0.2697654235565259,0.25527354744910247,55.00000000000001
point,L_m,500.0,mae,0.12479585107083387,0.18375929040334318,0.2911955921707199,0.19096171619181873,0.19029982735464354,55.00000000000001
open_path,CV,0.5,sd,0.06699325365729426,0.10397292989181203,0.13776120759289118,0.10424951202755295,0.08209241295568548,15.0
open_path,CV,0.5,mae,0.05490451437407861,0.08215569342288717,0.11914948474530639,0.08341312972983556,0.06460523915929588,11.0
open_path,CV,1.0,sd,0.11423629214133384,0.18259174345950702,0.2705850625765539,0.1862173982172492,0.14777194556529272,19.0
open_path,CV,1.0,mae,0.09532867557566987,0.144621637311038,0.2100467046372968,0.1463614492053588,0.11651690074605447,16.0
open_path,CV,2.0,sd,0.16555729381892442,0.2811691614343629,0.4729343202441369,0.28862054203750204,0.2371462708845269,30.0
open_path,CV,2.0,mae,0.146881174331131,0.22030059951357278,0.33287860194415253,0.22099009574868642,0.18870290077200277,27.0
open_path,L_m,100.0,sd,0.07261749786178223,0.1455467477584052,0.25440936370402356,0.1494803758152911,0.09611868885486309,12.0
open_path,L_m,100.0,mae,0.06333901210851875,0.11353326399186309,0.18245165354817447,0.11637465474091244,0.08741159714715636,17.5
open_path,L_m,250.0,sd,0.10258289163668417,0.20119284542243066,0.38511939899577696,0.21194509210144674,0.10370887267869336,3.0
open_path,L_m,250.0,mae,0.08989986085896001,0.1587787797181861,0.254052908259597,0.16428405673035637,0.1060216886493696,7.5
open_path,L_m,500.0,sd,0.10905562227134967,0.19998634280027283,0.43064719425293113,0.22122952085355152,0.22755181293850268,64.0
open_path,L_m,500.0,mae,0.09127512575907712,0.16302142180520582,0.28933893427757407,0.17010596321261195,0.17639175488082712,61.0
