geometry,pooled_by,value,statistic,null_q025,null_median,null_q975,null_mean,study_value,n_seeds,study_percentile_in_null
point,CV,0.5,sd,0.11374902359839684,0.13824106097103958,0.16802019733876217,0.13915382443016303,0.13343557561925556,20,32.5
point,CV,0.5,mae,0.08771720964859174,0.10419155655129614,0.12342058977767255,0.1042556301401997,0.10307741972754474,20,46.0
point,CV,1.0,sd,0.1948481571435676,0.25037978248237536,0.329052773812619,0.25416320901137057,0.23743496256870966,20,32.5
point,CV,1.0,mae,0.15046408088368748,0.18340768858812906,0.22228850664157795,0.18458747880177132,0.18172096330356907,20,46.0
point,CV,2.0,sd,0.2939719520831417,0.39704381829314705,0.6177934781746885,0.41074371331702636,0.3837958935686424,20,40.0
point,CV,2.0,mae,0.2281784056816124,0.27956252872409054,0.3534399963892201,0.282908994066223,0.281232825899451,20,53.0
point,L_m,100.0,sd,0.18161684759973626,0.2519407518118906,0.42516754905479626,0.26515555566088556,0.27063024450409706,20,60.5
point,L_m,100.0,mae,0.1355464672806869,0.17209611252505555,0.22253554890298471,0.17426134494074133,0.18031900807518805,20,64.0
point,L_m,250.0,sd,0.20168326402821873,0.2959696304938009,0.48483385385339284,0.30463994885351475,0.2988791345890744,20,52.0
point,L_m,250.0,mae,0.15730729330781706,0.19694265206204525,0.2716565568129231,0.2026927646042296,0.20139286820535582,20,54.0
point,L_m,500.0,sd,0.19272539713207315,0.27109057287500943,0.4330851609991679,0.2855528119589465,0.24272049706520038,20,25.5
point,L_m,500.0,mae,0.14862624544856287,0.18914275890116616,0.2632932425775731,0.19479799346322305,0.18431933265002093,20,41.5
open_path,CV,0.5,sd,0.0831159746739141,0.10811592730833995,0.13225086633832403,0.1073141607083831,0.09615065296118988,20,22.0
open_path,CV,0.5,mae,0.06557131454335005,0.08424107760029363,0.10619650197558078,0.08452205380147458,0.07691429720796392,20,24.0
open_path,CV,1.0,sd,0.13833737513433583,0.1912594971068113,0.24831301532010044,0.19226817113623487,0.1635441990376528,20,17.5
open_path,CV,1.0,mae,0.11354839011216657,0.14731472998608847,0.19043925603411654,0.14834403721612016,0.13206862161745478,20,19.5
open_path,CV,2.0,sd,0.20638751984111114,0.29457634549725886,0.42405068914703736,0.2997985857843425,0.24432843308852764,20,16.0
open_path,CV,2.0,mae,0.1697495269115934,0.2221421424544519,0.28460157575546374,0.2238278761597119,0.19859817374340447,20,22.5
open_path,L_m,100.0,sd,0.09951709116622898,0.1581735238791237,0.249582638508056,0.1619950497470858,0.1267345578487413,20,16.5
open_path,L_m,100.0,mae,0.0793837772715161,0.11596081103786295,0.16354806362736907,0.11810684498407077,0.09659271310236726,20,17.5
open_path,L_m,250.0,sd,0.14651857357853337,0.22267461246795012,0.3609313855900417,0.2271914721923701,0.18362366397729307,20,24.5
open_path,L_m,250.0,mae,0.1160900504983927,0.16472458182813562,0.2308316564021835,0.16601508549868668,0.14546372800301324,20,28.000000000000004
open_path,L_m,500.0,sd,0.15214319498654513,0.22127216995027627,0.3656851830609013,0.23306547974532765,0.2140546353507367,20,42.0
open_path,L_m,500.0,mae,0.11784294602804002,0.1664571004231183,0.25276505864457793,0.17257203669454918,0.1655246514634426,20,48.5
