geometry,n,CV,L_m,sigma_rep_pred,cover68_reported,cover95_reported,cover68_widened,cover95_widened,logscore_reported,logscore_widened
open_path,1,0.5,100.0,0.03999530185591579,1.0,1.0,1.0,1.0,3.5968087846824304,3.5916747191740823
open_path,1,0.5,250.0,0.0719155709737196,1.0,1.0,1.0,1.0,3.5922808400893382,3.576016121353672
open_path,1,0.5,500.0,0.08800253138343024,1.0,1.0,1.0,1.0,3.5603078639843364,3.5376829023299288
open_path,1,1.0,100.0,0.06938815061150713,1.0,1.0,1.0,1.0,3.579128793674186,3.5643708193274337
open_path,1,1.0,250.0,0.12124000096106993,1.0,1.0,1.0,1.0,3.5638267447945253,3.521407408354847
open_path,1,1.0,500.0,0.16238066482000096,0.875,1.0,1.0,1.0,3.470678211582091,3.410630397868921
open_path,1,2.0,100.0,0.11169262183634782,1.0,1.0,1.0,1.0,3.5164214927040227,3.483761897112802
open_path,1,2.0,250.0,0.23158635420804272,1.0,1.0,1.0,1.0,3.488413044588393,3.3679180039735526
open_path,1,2.0,500.0,0.2947108247972602,0.875,1.0,0.875,1.0,3.2873051820334123,3.176758977412957
open_path,2,0.5,100.0,0.03959856888839148,1.0,1.0,1.0,1.0,3.9367545340869015,3.9268701685202405
open_path,2,0.5,250.0,0.0707997285067646,1.0,1.0,1.0,1.0,3.9288145377292505,3.898364743260558
open_path,2,0.5,500.0,0.08585834729672619,1.0,1.0,1.0,1.0,3.85855463152296,3.820530473846569
open_path,2,1.0,100.0,0.06925808391963084,1.0,1.0,1.0,1.0,3.9045022364933897,3.8767524782893266
open_path,2,1.0,250.0,0.11980515456155104,1.0,1.0,1.0,1.0,3.876559744546098,3.8020928546577615
open_path,2,1.0,500.0,0.15906081724446455,0.875,1.0,0.875,1.0,3.681534486634088,3.605028187607709
open_path,2,2.0,100.0,0.11105732069679104,0.875,1.0,0.875,1.0,3.7810613934486486,3.7296245223073607
open_path,2,2.0,250.0,0.22929968317819235,0.875,1.0,0.875,1.0,3.729009592446945,3.557045051282741
open_path,2,2.0,500.0,0.28943757437916356,0.5,0.875,0.875,1.0,3.321288037300282,3.279011723535638
open_path,3,0.5,100.0,0.038739858969247275,1.0,1.0,1.0,1.0,4.09815477704576,4.085132764851748
