domain_m,L_m,CV,D_over_L,method,logvar_ratio_mean,logvar_ratio_theory,logvar_ratio_p10,logvar_ratio_p90,cv_ratio_mean,cv_ratio_p10,cv_ratio_p90,L_hat_median_m,L_hat_p10_m,L_hat_p90_m,N_eff_lognormal
1000.0,100.0,0.5,10.0,circulant,0.9594006762306652,0.9517232957150055,0.7591460176317887,1.1655185976935227,0.9750757883776134,0.8609942182893826,1.0809966655524235,83.07034554295822,69.4424690725069,90.91977908687028,22.446756349031016
1000.0,100.0,1.0,10.0,circulant,0.9594006762306652,0.9517232957150055,0.7591460176317888,1.1655185976935225,0.960676494882374,0.8067119930562231,1.1348008199912172,83.07034554295817,69.44246907250692,90.9197790868703,26.822084361505514
1000.0,100.0,2.0,10.0,circulant,0.9594006762306652,0.9517232957150055,0.7591460176317887,1.1655185976935225,0.8956414379910193,0.6775584123909937,1.1879056340352665,83.0703455429582,69.44246907250695,90.91977908687026,39.0978295264361
1000.0,250.0,0.5,4.0,circulant,0.8118829984935654,0.8065806071507916,0.5530352530623798,1.1633541448977847,0.8767180412051665,0.7036780572204243,1.0725618380072868,138.9832384422778,121.27135238356108,153.70786647199856,5.55888042629965
1000.0,250.0,1.0,4.0,circulant,0.8118829984935655,0.8065806071507916,0.5530352530623799,1.1633541448977849,0.8331819575797743,0.64641089100764,1.0425516368576566,138.98323844227752,121.27135238356097,153.70786647199864,6.532237724175007
1000.0,250.0,2.0,4.0,circulant,0.8118829984935655,0.8065806071507916,0.5530352530623799,1.163354144897785,0.7223154815319822,0.5168161603754615,0.9361445062705274,138.98323844227767,121.27135238356092,153.70786647199878,9.215997333756238
1000.0,500.0,0.5,2.0,cholesky,0.6348634677156793,0.6032444733344362,0.36742144617622036,0.9840401749352673,0.754006268258576,0.5792068488559963,0.9490934448742139,166.5933777771444,155.09303693369563,188.01552001554575,2.672071437505526
1000.0,500.0,1.0,2.0,cholesky,0.6348634674105884,0.6032444733344362,0.36742144577027813,0.9840401746417875,0.6915847089760748,0.5180202318843594,0.9017594366055769,166.593377794155,155.09303693894813,188.01552002118595,3.045686789392893
1000.0,500.0,2.0,2.0,cholesky,0.634863467328123,0.6032444733344362,0.3674214456605506,0.9840401745624535,0.5641761614436106,0.41154591561862247,0.7551316546445058,166.59337779875236,155.09303694036737,188.01552002270986,4.038083660192765
2000.0,100.0,0.5,20.0,circulant,0.9869521230579791,0.9861676617435023,0.8821354613020148,1.1080195192844413,0.9888896846035982,0.9250171449895707,1.0555860360321665,101.4644821027405,94.6757361669295,111.56436652649842,78.52634841224939
2000.0,100.0,1.0,20.0,circulant,0.986952123057979,0.9861676617435023,0.8821354613020147,1.1080195192844415,0.9804742421349424,0.8845696283997307,1.091801896258224,101.46448210273974,94.67573616692908,111.56436652649869,94.32253454360145
2000.0,100.0,2.0,20.0,circulant,0.9869521230579791,0.9861676617435023,0.8821354613020147,1.1080195192844413,0.9432911969499455,0.7846353199175183,1.138529245483914,101.46448210274028,94.67573616692913,111.56436652649852,139.0479579333642
2000.0,250.0,0.5,8.0,circulant,0.9324468087049455,0.9300873154205368,0.7195286509784472,1.1755031342035498,0.9490520873674435,0.8409201539616368,1.0859185294207119,198.73281358300204,179.01077503240094,225.33318940747066,15.490542169562493
2000.0,250.0,1.0,8.0,circulant,0.9324468087049455,0.9300873154205368,0.7195286509784473,1.1755031342035498,0.9200980230145399,0.7851377226645213,1.0628690551781417,198.7328135830016,179.010775032401,225.3331894074723,18.491455497655878
2000.0,250.0,2.0,8.0,circulant,0.9324468087049457,0.9300873154205368,0.7195286509784472,1.1755031342035498,0.8356866858696201,0.6643911995232832,1.0272209882289463,198.73281358300213,179.01077503240043,225.33318940747154,26.95431364717183
2000.0,500.0,0.5,4.0,circulant,0.807345441362387,0.806778015639078,0.5288263723052017,1.1064049746277576,0.868870326155364,0.7184236077639167,1.0613834069337877,271.6533395818162,249.95672445537997,315.9344394078571,5.564972863347663
2000.0,500.0,1.0,4.0,circulant,0.807345441362387,0.806778015639078,0.5288263723052019,1.1064049746277573,0.8200127538105193,0.6585123785396106,1.0283326739169707,271.6533395818172,249.95672445538,315.93443940785687,6.540680009859391
2000.0,500.0,2.0,4.0,circulant,0.8073454413623868,0.806778015639078,0.5288263723052017,1.1064049746277573,0.7040964385530734,0.5383452670942607,0.8825698306535917,271.6533395818157,249.95672445537838,315.9344394078567,9.233499652462779
4000.0,100.0,0.5,40.0,circulant,0.9953709454337223,0.9962998969417873,0.941540155468907,1.0519765670141885,0.9980891185196736,0.9594266792453352,1.0341065386803412,122.806792847721,122.57824628043676,123.03533941500524,293.84288972035455
4000.0,100.0,1.0,40.0,circulant,0.9953709454337223,0.9962998969417873,0.9415401554689068,1.0519765670141885,0.9953797060971038,0.9393005765044026,1.0582517512861036,122.80679284772104,122.57824628043664,123.03533941500544,353.71940664607257
4000.0,100.0,2.0,40.0,circulant,0.9953709454337222,0.9962998969417873,0.9415401554689069,1.0519765670141885,0.9755788773142904,0.8674810686256279,1.0905175143549268,122.80679284772106,122.57824628043682,123.03533941500531,524.011114613475
4000.0,250.0,0.5,16.0,circulant,0.9748639423542724,0.9791764580352982,0.8636891086236222,1.0984355201896412,0.9819810437398167,0.9107503314147353,1.0613800662729753,237.86389762186948,211.00599385734967,265.735837383314,52.16066342709477
