run,L_m,CV,seed,n,geometry,covariance_model,source_dx_m,source_nx,source_ny,domain_area_m2,path_length_total_m,path_length_each_m,Q_true_kg_s,Q_true_recomputed_kg_s,Q_prior_kg_s,Q_hat_kg_s,posterior_sigma_kg_s,e_signed,e_abs,converged,n_iter,method,n_obs,n_state,dof,dfs,prior_influence,ak_diag,chi2,chi2_per_dof,sigma_repr_mean_ng_m3,inverse_crime_flag,total_only,inversion_template,n_fine_cells,state_units,obs_units,jacobian_units,nature_run,E_Q_reported
source_heterogeneity_les_rice_paddy_l100_cv0p5_s0_wind3_n1_op,100.0,0.5,0,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027777999999999997,0.0,0.027891975965221916,0.010876612596965455,0.004103101923173557,0.004103101923173557,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,9.20443775605762e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l100_cv0p5_s0_wind3_surface,0.004103101923173683
source_heterogeneity_les_rice_paddy_l100_cv0p5_s1_wind3_n1_op,100.0,0.5,1,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027778000000000004,0.0,0.029251823613950782,0.010876612596965455,0.05305722564442299,0.05305722564442299,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,1.0123824143447814e-07,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l100_cv0p5_s1_wind3_surface,0.053057225644422855
source_heterogeneity_les_rice_paddy_l100_cv0p5_s2_wind3_n1_op,100.0,0.5,2,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027777999999999997,0.0,0.026540608258544967,0.010876612596965455,-0.0445457463264106,0.0445457463264106,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,8.334133333776861e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l100_cv0p5_s2_wind3_surface,0.04454574632641048
source_heterogeneity_les_rice_paddy_l100_cv0p5_s3_wind3_n1_op,100.0,0.5,3,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027777999999999997,0.0,0.026339579356329836,0.010876612596965455,-0.05178272891029466,0.05178272891029466,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,8.208359531859021e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l100_cv0p5_s3_wind3_surface,0.05178272891029454
source_heterogeneity_les_rice_paddy_l100_cv0p5_s4_wind3_n1_op,100.0,0.5,4,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027777999999999997,0.0,0.028555344603169663,0.010876612596965455,0.027984181840653134,0.027984181840653134,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,9.647471665369569e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l100_cv0p5_s4_wind3_surface,0.027984181840653263
source_heterogeneity_les_rice_paddy_l100_cv0p5_s5_wind3_n1_op,100.0,0.5,5,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027777999999999997,0.0,0.026276363159247123,0.010876612596965455,-0.0540584937991532,0.0540584937991532,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,8.169005936026254e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l100_cv0p5_s5_wind3_surface,0.05405849379915308
source_heterogeneity_les_rice_paddy_l100_cv0p5_s6_wind3_n1_op,100.0,0.5,6,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027777999999999997,0.0,0.026553302380554346,0.010876612596965455,-0.04408876158995085,0.04408876158995085,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,8.342107514663855e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l100_cv0p5_s6_wind3_surface,0.04408876158995073
source_heterogeneity_les_rice_paddy_l100_cv0p5_s7_wind3_n1_op,100.0,0.5,7,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027778000000000004,0.0,0.028030465548673923,0.010876612596965455,0.009088687042764871,0.009088687042764871,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,9.296068652168359e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l100_cv0p5_s7_wind3_surface,0.009088687042764745
source_heterogeneity_les_rice_paddy_l250_cv0p5_s0_wind3_n1_op,250.0,0.5,0,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027778,0.0,0.027999191795615365,0.010876612596965455,0.0079628409394256,0.0079628409394256,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,9.275336868424041e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l250_cv0p5_s0_wind3_surface,0.0079628409394256
source_heterogeneity_les_rice_paddy_l250_cv0p5_s1_wind3_n1_op,250.0,0.5,1,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027778,0.0,0.029618216578335996,0.010876612596965455,0.06624726684196111,0.06624726684196111,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,1.0379023842854983e-07,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l250_cv0p5_s1_wind3_surface,0.06624726684196111
