geometry,n,model,form,a,a_lo,a_hi,alpha,alpha_se,beta,beta_se,r2_log,adj_r2_log,rmse_log,rmse_rel,aic,bic,loco_rmse_log,n_params,n_points
open_path,1,M0,a·CV,0.11378204738956531,0.08612560351518783,0.15031946110982272,,,,,0.5648308364418242,0.5648308364418242,0.401864681675527,0.38038280654921935,11.13137612169183,11.32860069902805,0.45209776688496783,1,9
open_path,1,M1,a·L/√A,0.49027197999786254,0.32845044703395376,0.7318200250346333,,,,,0.09958549493183244,0.09958549493183244,0.5780588093802251,0.6497507563117129,17.675459552930157,17.87268413026638,0.6503161605527533,1,9
open_path,1,M2,a·CV·L/√A,0.49027197999786254,0.383911991609577,0.6260982194467831,,,,,0.6644163313736562,0.6644163313736562,0.3528996206341585,0.3448220866718393,8.79260437834187,8.98982895567809,0.39701207321342824,1,9
open_path,1,M3,a·CV^α·(L/√A)^β,0.25132457207516984,0.1858749361848419,0.33982010606289725,0.8272128160081195,0.11186168223943893,0.5425301114559711,0.09604518782112119,0.935200442480549,0.9136005899740653,0.1550732193139192,0.1626251008677815,-2.008548439056133,-1.4168747070474748,0.2246508921839963,3,9
open_path,1,M4,a·σ_log^α·(L/√A)^β,0.32857311450060905,0.2408952908648167,0.448162731554659,1.1564231937489267,0.15664445851875658,0.542530111455971,0.0961915812855989,0.9350027550906221,0.9133370067874962,0.1553095841577817,0.16264956794037455,-1.9811334665487799,-1.3894597345401216,0.22776661774066972,3,9
open_path,1,M5,"a·CV/√N_eff,lognormal",0.3337860138182992,0.28721100564712754,0.387913766638852,,,,,0.8732652471641968,0.8732652471641968,0.21686958272507062,0.22455223532479598,0.02862966480292073,0.2258542421391403,0.24397828056570436,1,9
open_path,1,M6,"a·σ_log/√N_eff,lognormal",0.42084366771804504,0.3478361669349931,0.509174748040149,,,,,0.7962947103551576,0.7962947103551576,0.27494886803048174,0.2755262654041736,4.299831202997812,4.497055780334032,0.30931747653429187,1,9
open_path,2,M0,a·CV,0.11239212516288262,0.08539767990131793,0.14791959000790283,,,,,0.5745876247351963,0.5745876247351963,0.3963765582298562,0.3737455535053061,10.883862528940474,11.081087106276694,0.4459236280085881,1,9
open_path,2,M1,a·L/√A,0.4842829866746392,0.3231106426026896,0.7258504681038832,,,,,0.07661259207387949,0.07661259207387949,0.5839758353255216,0.6563477601838507,17.858771449893514,18.05599602722973,0.6569728147412116,1,9
open_path,2,M2,a·CV·L/√A,0.48428298667463926,0.37764490856077815,0.6210331606913841,,,,,0.6512002168090758,0.6512002168090758,0.3589145014702097,0.3495024130086286,9.096814223880052,9.29403880121627,0.4037788141539858,1,9
open_path,2,M3,a·CV^α·(L/√A)^β,0.24466586911818425,0.18014254200727836,0.3323001154770974,0.8312626064325104,0.11352062852374425,0.5325615320596572,0.09746957018576509,0.9329413691448114,0.9105884921930819,0.15737300719325248,0.16507625151537103,-1.7435624931158742,-1.151888761107216,0.22806978769106995,3,9
open_path,2,M4,a·σ_log^α·(L/√A)^β,0.3202431990549816,0.23337458010552936,0.4394467747712455,1.161484692652102,0.15969202938857324,0.532561532059657,0.09806302100213693,0.9321223001857827,0.9094964002477103,0.1583311845958586,0.1659627250588967,-1.6343004265777887,-1.0426266945691305,0.23216462200673282,3,9
open_path,2,M5,"a·CV/√N_eff,lognormal",0.3297085990573091,0.282653572589164,0.38459715649991016,,,,,0.8662969447584639,0.8662969447584639,0.2222151007558295,0.22922816218362732,0.46692360769030894,0.6641481850265285,0.2499919883503082,1,9
open_path,2,M6,"a·σ_log/√N_eff,lognormal",0.41570278669911515,0.3421836703664485,0.5050176903075095,,,,,0.786420306615073,0.786420306615073,0.28085546694697755,0.2808026429212316,4.682421897136363,4.879646474472583,0.31596240031534967,1,9
open_path,3,M0,a·CV,0.10872057111566724,0.08284392594770405,0.1426798941322317,,,,,0.580814393217971,0.580814393217971,0.3922604094162057,0.37112261142780545,10.6959652974592,10.89318987479542,0.4412929605932313,1,9
open_path,3,M1,a·L/√A,0.46846273986334364,0.3127412150983013,0.7017218327660799,,,,,0.07365864028039426,0.07365864028039426,0.5831185049003419,0.6529007035014623,17.832326371895753,18.029550949231975,0.6560083180128846,1,9
open_path,3,M2,a·CV·L/√A,0.46846273986334364,0.3660130396793243,0.5995888529888016,,,,,0.6544730334983653,0.6544730334983653,0.3561330424029582,0.34795460567567466,8.956777337762663,9.154001915098883,0.400649672703328,1,9
open_path,3,M3,a·CV^α·(L/√A)^β,0.23617362382895477,0.17656841820976685,0.31590009786594603,0.8328053535256625,0.1078523834271754,0.5311146671295719,0.09260277707111475,0.9390985244444346,0.9187980325925795,0.1495151509784336,0.1558125142470755,-2.665542247398573,-2.073868515389915,0.21787932533526227,3,9
open_path,3,M4,a·σ_log^α·(L/√A)^β,0.3092965522460397,0.22905678079519937,0.4176447293949401,1.1638409096679843,0.15156435843105384,0.5311146671295717,0.09307201443244575,0.938479760040178,0.917973013386904,0.1502727750707462,0.15636435363572415,-2.5745628482349616,-1.9828891162263034,0.22160478022340155,3,9
open_path,3,M5,"a·CV/√N_eff,lognormal",0.3189378894589612,0.2746861864750457,0.3703185028628208,,,,,0.8734258560667167,0.8734258560667167,0.2155478997577777,0.2201930963121573,-0.08140458894402514,0.11581998839219443,0.24249138722749985,1,9
open_path,3,M6,"a·σ_log/√N_eff,lognormal",0.4021228739896444,0.33212046795243616,0.48687997696320645,,,,,0.7924688544364843,0.7924688544364843,0.2760024504164936,0.27284149252185463,4.36867396797625,4.56589854531247,0.3105027567185553,1,9
open_path,4,M0,a·CV,0.10844871574254143,0.0821940240864246,0.14308976932240325,,,,,0.5628956660763542,0.5628956660763542,0.4000128972025662,0.3781525547908529,11.048240788708492,11.245465366044712,0.45001450935288695,1,9
open_path,4,M1,a·L/√A,0.46729135057027604,0.3129845825644706,0.6976740021141876,,,,,0.08616403906797165,0.08616403906797165,0.5783830537165242,0.6466250396819916,17.68555326951474,17.88277784685096,0.6506809354310897,1,9
open_path,4,M2,a·CV·L/√A,0.4672913505702759,0.36451847028031076,0.5990401697611512,,,,,0.6490597051443258,0.6490597051443258,0.3584248037263174,0.3506660457106977,9.072238515577247,9.269463092913467,0.4032279041921071,1,9
open_path,4,M3,a·CV^α·(L/√A)^β,0.23737362840885706,0.17467269163238922,0.3225818468668859,0.8216630101137498,0.1137343834321051,0.5362984260415846,0.097653101578376,0.9320903342228203,0.9094537789637603,0.1576693344173748,0.1654960115368927,-1.7097010662363559,-1.1180273342276976,0.2285515565835892,3,9
