L_m,CV,seed,n,network,q_posterior_kg_s,q_rel_error,posterior_sigma_kg_s,ak_diagonal,chi2_per_dof_or_nan,converged
100,0.5,0,1,op,0.027891976,+0.004103,0.010876613,0.999882,nan,True
100,0.5,1,1,op,0.029251824,+0.053057,0.010876613,0.999882,nan,True
100,0.5,2,1,op,0.026540608,-0.044546,0.010876613,0.999882,nan,True
100,0.5,3,1,op,0.026339579,-0.051783,0.010876613,0.999882,nan,True
100,0.5,4,1,op,0.028555345,+0.027984,0.010876613,0.999882,nan,True
100,0.5,5,1,op,0.026276363,-0.054058,0.010876613,0.999882,nan,True
100,0.5,6,1,op,0.026553302,-0.044089,0.010876613,0.999882,nan,True
100,0.5,7,1,op,0.028030466,+0.009089,0.010876613,0.999882,nan,True
100,0.5,0,1,point,0.027786070,+0.000291,0.009821644,0.999904,nan,True
100,0.5,1,1,point,0.031420340,+0.131123,0.009821644,0.999904,nan,True
100,0.5,2,1,point,0.029081932,+0.046941,0.009821644,0.999904,nan,True
100,0.5,3,1,point,0.027073977,-0.025345,0.009821644,0.999904,nan,True
100,0.5,4,1,point,0.031887037,+0.147924,0.009821644,0.999904,nan,True
100,0.5,5,1,point,0.026294248,-0.053415,0.009821644,0.999904,nan,True
100,0.5,6,1,point,0.025154917,-0.094430,0.009821644,0.999904,nan,True
100,0.5,7,1,point,0.027235724,-0.019522,0.009821644,0.999904,nan,True
100,0.5,0,2,op,0.028062993,+0.010260,0.007707612,0.999941,0.9136,True
100,0.5,1,2,op,0.029464673,+0.060720,0.007707612,0.999941,0.6365,True
100,0.5,2,2,op,0.026784112,-0.035780,0.007707612,0.999941,0.4595,True
100,0.5,3,2,op,0.026480103,-0.046724,0.007707612,0.999941,0.5375,True
100,0.5,4,2,op,0.028669879,+0.032107,0.007707612,0.999941,0.2363,True
100,0.5,5,2,op,0.026619449,-0.041708,0.007707612,0.999941,1.2200,True
100,0.5,6,2,op,0.026622255,-0.041606,0.007707612,0.999941,0.3623,True
100,0.5,7,2,op,0.028320558,+0.019532,0.007707612,0.999941,0.9741,True
100,0.5,0,2,point,0.030157513,+0.085662,0.007962775,0.999937,0.9412,True
100,0.5,1,2,point,0.031500713,+0.134017,0.007962775,0.999937,0.3971,True
100,0.5,2,2,point,0.028092201,+0.011311,0.007962775,0.999937,0.2860,True
100,0.5,3,2,point,0.026775621,-0.036085,0.007962775,0.999937,0.3993,True
100,0.5,4,2,point,0.029616217,+0.066175,0.007962775,0.999937,0.0833,True
100,0.5,5,2,point,0.027767482,-0.000379,0.007962775,0.999937,1.0244,True
100,0.5,6,2,point,0.029750126,+0.070996,0.007962775,0.999937,0.1598,True
100,0.5,7,2,point,0.031180754,+0.122498,0.007962775,0.999937,0.7847,True
100,0.5,0,3,op,0.028399963,+0.022390,0.006541535,0.999957,0.7238,True
100,0.5,1,3,op,0.029649139,+0.067360,0.006541535,0.999957,0.3545,True
100,0.5,2,3,op,0.026928822,-0.030570,0.006541535,0.999957,0.2308,True
100,0.5,3,3,op,0.026815111,-0.034664,0.006541535,0.999957,0.5289,True
100,0.5,4,3,op,0.028764265,+0.035505,0.006541535,0.999957,0.1031,True
100,0.5,5,3,op,0.026854989,-0.033228,0.006541535,0.999957,0.9500,True
100,0.5,6,3,op,0.027259915,-0.018651,0.006541535,0.999957,0.3629,True
100,0.5,7,3,op,0.028738343,+0.034572,0.006541535,0.999957,0.7421,True
100,0.5,0,3,point,0.030245350,+0.088824,0.006713806,0.999955,0.5842,True
100,0.5,1,3,point,0.031658640,+0.139702,0.006713806,0.999955,0.2866,True
100,0.5,2,3,point,0.028905808,+0.040601,0.006713806,0.999955,0.2027,True
100,0.5,3,3,point,0.028443060,+0.023942,0.006713806,0.999955,0.4875,True
100,0.5,4,3,point,0.030217962,+0.087838,0.006713806,0.999955,0.1494,True
100,0.5,5,3,point,0.028397445,+0.022300,0.006713806,0.999955,0.8611,True
100,0.5,6,3,point,0.028817061,+0.037406,0.006713806,0.999955,0.2708,True
100,0.5,7,3,point,0.030753733,+0.107126,0.006713806,0.999955,0.6136,True
100,0.5,0,4,op,0.028926754,+0.041355,0.005758145,0.999967,0.7706,True
100,0.5,1,4,op,0.030208592,+0.087501,0.005758145,0.999967,0.4348,True
100,0.5,2,4,op,0.027509485,-0.009666,0.005758145,0.999967,0.2958,True
100,0.5,3,4,op,0.027232015,-0.019655,0.005758145,0.999967,0.6065,True
100,0.5,4,4,op,0.029210553,+0.051571,0.005758145,0.999967,0.1562,True
100,0.5,5,4,op,0.027550571,-0.008187,0.005758145,0.999967,1.0365,True
100,0.5,6,4,op,0.027521758,-0.009225,0.005758145,0.999967,0.3972,True
100,0.5,7,4,op,0.029276955,+0.053962,0.005758145,0.999967,0.7956,True
100,0.5,0,4,point,0.027213673,-0.020316,0.005746857,0.999967,1.0769,True
100,0.5,1,4,point,0.028059632,+0.010139,0.005746857,0.999967,0.7136,True
100,0.5,2,4,point,0.025465511,-0.083249,0.005746857,0.999967,0.5164,True
100,0.5,3,4,point,0.025477300,-0.082825,0.005746857,0.999967,0.8132,True
100,0.5,4,4,point,0.026980120,-0.028723,0.005746857,0.999967,0.3073,True
100,0.5,5,4,point,0.026064835,-0.061673,0.005746857,0.999967,1.3532,True
100,0.5,6,4,point,0.025769681,-0.072299,0.005746857,0.999967,0.6136,True
100,0.5,7,4,point,0.027561726,-0.007786,0.005746857,0.999967,1.1479,True
100,1.0,0,1,op,0.026938753,-0.030213,0.010876613,0.999882,nan,True
100,1.0,1,1,op,0.029752704,+0.071089,0.010876613,0.999882,nan,True
100,1.0,2,1,op,0.025100466,-0.096390,0.010876613,0.999882,nan,True
100,1.0,3,1,op,0.025120357,-0.095674,0.010876613,0.999882,nan,True
100,1.0,4,1,op,0.029282513,+0.054162,0.010876613,0.999882,nan,True
100,1.0,5,1,op,0.023649171,-0.148637,0.010876613,0.999882,nan,True
100,1.0,6,1,op,0.025437870,-0.084244,0.010876613,0.999882,nan,True
100,1.0,7,1,op,0.028001565,+0.008048,0.010876613,0.999882,nan,True
100,1.0,0,1,point,0.025646766,-0.076724,0.009821644,0.999904,nan,True
100,1.0,1,1,point,0.032259687,+0.161339,0.009821644,0.999904,nan,True
100,1.0,2,1,point,0.028372118,+0.021388,0.009821644,0.999904,nan,True
100,1.0,3,1,point,0.025567851,-0.079565,0.009821644,0.999904,nan,True
100,1.0,4,1,point,0.034382344,+0.237754,0.009821644,0.999904,nan,True
100,1.0,5,1,point,0.022436788,-0.192282,0.009821644,0.999904,nan,True
100,1.0,6,1,point,0.022368144,-0.194753,0.009821644,0.999904,nan,True
100,1.0,7,1,point,0.025130521,-0.095308,0.009821644,0.999904,nan,True
100,1.0,0,2,op,0.027082442,-0.025040,0.007707612,0.999941,1.0638,True
100,1.0,1,2,op,0.029935756,+0.077679,0.007707612,0.999941,0.5634,True
100,1.0,2,2,op,0.025343641,-0.087636,0.007707612,0.999941,0.2661,True
100,1.0,3,2,op,0.025252320,-0.090924,0.007707612,0.999941,0.5371,True
100,1.0,4,2,op,0.029355280,+0.056782,0.007707612,0.999941,0.0683,True
100,1.0,5,2,op,0.024000459,-0.135990,0.007707612,0.999941,1.5370,True
